  * 1   Alaska - Aleutian Arc
      59         5 GUERRERO, MEXICO
      60         5 OAXACA, MEXICO
      61         5 CHIAPAS, MEXICO
      62         5 MEXICO-GUATEMALA BORDER REGION
      63         5 OFF COAST OF MEXICO
      64         5 OFF COAST OF MICHOACAN, MEXICO
      65         5 OFF COAST OF GUERRERO, MEXICO
      66         5 NEAR COAST OF OAXACA, MEXICO
      67         5 OFF COAST OF OAXACA, MEXICO
      68         5 OFF COAST OF CHIAPAS, MEXICO
      69         5 NEAR COAST OF CHIAPAS, MEXICO
      70         5 GUATEMALA
      71         5 NEAR COAST OF GUATEMALA
      72         6 HONDURAS
      73         6 EL SALVADOR
      74         6 NEAR COAST OF NICARAGUA
      75         6 NICARAGUA
      76         6 OFF COAST OF CENTRAL AMERICA
      77         6 OFF COAST OF COSTA RICA
      78         6 COSTA RICA
      79         6 NORTH OF PANAMA
      80         6 PANAMA-COSTA RICA BORDER REGION
      81         6 PANAMA
      82         6 PANAMA-COLOMBIA BORDER REGION
      83         6 SOUTH OF PANAMA
      84         7 YUCUTAN PENINSULA
      85         7 CUBA REGION
      86         7 JAMAICA REGION
      87         7 HAITI REGION
      88         7 DOMINICAN REPUBLIC REGION
      89         7 MONA PASSAGE
      90         7 PUERTO RICO REGION
      91         7 VIRGIN ISLANDS
      92         7 LEEWARD ISLANDS
      93         7 BELIZE
      94         7 CARIBBEAN SEA
      95         7 WINDWARD ISLANDS
      96         7 NEAR NORTH COAST OF COLOMBIA
      97         7 NEAR COAST OF VENEZUELA
      98         7 TRINIDAD
      99         7 NORTHERN COLOMBIA
     100         7 LAKE MARACAIBO
     101         7 VENEZUELA
     102         8 NEAR WEST COAST OF COLOMBIA
     103         8 COLOMBIA
     104         8 OFF COAST OF ECUADOR
     105         8 NEAR COAST OF ECUADOR
     106         8 COLOMBIA-ECUADOR BORDER REGION
     107         8 ECUADOR
     108         8 OFF COAST OF NORTHERN PERU
     109         8 NEAR COAST OF NORTHERN PERU
     110         8 PERU-ECUADOR BORDER REGION
     111         8 NORTHERN PERU
     112         8 PERU-BRAZIL BORDER REGION
     113         8 WESTERN BRAZIL
     114         8 OFF COAST OF PERU
     115         8 NEAR COAST OF PERU
     116         8 PERU
     117         8 SOUTHERN PERU
     118         8 PERU-BOLIVIA BORDER REGION
     119         8 NORTHERN BOLIVIA
     120         8 BOLIVIA
     121         8 OFF COAST OF NORTHERN CHILE
     122         8 NEAR COAST OF NORTHERN CHILE
     123         8 NORTHERN CHILE
     124         8 CHILE-BOLIVIA BORDER REGION
     125         8 SOUTHERN BOLIVIA
     126         8 PARAGUAY
     127         8 CHILE-ARGENTINA BORDER REGION
     128         8 JUJUY PROVINCE, ARGENTINA
     129         8 SALTA PROVINCE, ARGENTINA
     130         8 CATAMARCA PROVINCE, ARGENTINA
     131         8 TUCUMAN PROVINCE, ARGENTINA
     132         8 SANTIAGO DEL ESTERO PROV., ARG.
     133         8 NORTHEASTERN ARGENTINA
     134         8 OFF COAST OF CENTRAL CHILE
     135         8 NEAR COAST OF CENTRAL CHILE
     136         8 CENTRAL CHILE
     137         8 SAN JUAN PROVINCE, ARGENTINA
     138         8 LA RIOJA PROVINCE, ARGENTINA
     139         8 MENDOZA PROVINCE, ARGENTINA
     140         8 SAN LUIS PROVINCE, ARGENTINA
     141         8 CORDOBA PROVINCE, ARGENTINA
     142         8 URUGUAY
     143         9 OFF COAST OF SOUTHERN CHILE
     144         9 NEAR COAST OF SOUTHERN CHILE
     145         9 S. CHILE-ARGENTINA BORDER REGION
     146         9 ARGENTINA
     147        10 TIERRA DEL FUEGO
     148        10 FALKLAND ISLANDS REGION
     149        10 DRAKE PASSAGE
     150        10 SCOTIA SEA
     151        10 SOUTH GEORGIA ISLAND REGION
     152        10 SOUTH GEORGIA RISE
     153        10 SOUTH SANDWICH ISLANDS REGION
     154        10 SOUTH SHETLAND ISLANDS
     155        10 ANTARCTIC PENINSULA
     156        10 SOUTHWESTERN ATLANTIC OCEAN
     157        10 WEDDELL SEA
     158        11 OFF W. COAST OF N. ISLAND, N.Z.
     159        11 NORTH ISLAND, NEW ZEALAND
     160        11 OFF E. COAST OF N. ISLAND, N.Z.
     161        11 OFF W. COAST OF S. ISLAND, N.Z.
     162        11 SOUTH ISLAND, NEW ZEALAND
     163        11 COOK STRAIT, NEW ZEALAND
     164        11 OFF E. COAST OF S. ISLAND, N.Z.
     165        11 NORTH OF MACQUARIE ISLAND
     166        11 AUCKLAND ISLANDS REGION
     167        11 MACQUARIE ISLANDS REGION
     168        11 SOUTH OF NEW ZEALAND
     169        12 SAMOA ISLANDS REGION
     170        12 SAMOA ISLANDS
     171        12 SOUTH OF FIJI ISLANDS
     172        12 WEST OF TONGA ISLANDS
     173        12 TONGA ISLANDS
     174        12 TONGA ISLANDS REGION
     175        12 SOUTH OF TONGA ISLANDS
     176        12 NORTH OF NEW ZEALAND
     177        12 KERMADEC ISLANDS REGION
     178        12 KERMADEC ISLANDS
     179        12 SOUTH OF KERMADEC ISLANDS
     180        13 NORTH OF FIJI ISLANDS
     181        13 FIJI ISLANDS REGION
     182        13 FIJI ISLANDS
     183        14 SANTA CRUZ ISLANDS REGION
     184        14 SANTA CRUZ ISLANDS
     185        14 VANUATU ISLANDS REGION
     186        14 VANUATU ISLANDS
     187        14 NEW CALEDONIA
     188        14 LOYALTY ISLANDS
     189        14 LOYALTY ISLANDS REGION
     190        15 NEW IRELAND REGION
     191        15 NORTH OF SOLOMON ISLANDS
     192        15 NEW BRITAIN REGION
     193        15 SOLOMON ISLANDS
     194        15 DENTRECASTEAUX ISLANDS REGION
     195        15 SOLOMON ISLANDS REGION
     196        16 WEST IRIAN REGION
     197        16 NEAR N. COAST OF WEST IRIAN
     198        16 PAPUA NEW GUINEA REGION
     199        16 ADMIRALTY ISLANDS REGION
     200        16 NEAR N COAST OF PAPUA NEW GUINEA
     201        16 WEST IRIAN
     202        16 PAPUA NEW GUINEA
     203        16 BISMARCK SEA
     204        16 AROE ISLANDS REGION
     205        16 NEAR S. COAST OF WEST IRIAN
     206        16 NEAR S COAST OF PAPUA NEW GUINEA
     207        16 EAST PAPUA NEW GUINEA REGION
     208        16 ARAFURA SEA
     209        17 WEST CAROLINE ISLANDS
     210        17 SOUTH OF MARIANA ISLANDS
     211        18 SOUTH OF HONSHU, JAPAN
     212        18 BONIN ISLANDS REGION
     213        18 VOLCANO ISLANDS REGION
     214        18 WEST OF MARIANA ISLANDS
     215        18 MARIANA ISLANDS REGION
     216        18 MARIANA ISLANDS
     217        19 KAMCHATKA
     218        19 NEAR EAST COAST OF KAMCHATKA
     219        19 OFF EAST COAST OF KAMCHATKA
     220        19 NORTHWEST OF KURIL ISLANDS
     221        19 KURIL ISLANDS
     222        19 KURIL ISLANDS REGION
     223        19 EASTERN SEA OF JAPAN
     224        19 HOKKAIDO, JAPAN  REGION
     225        19 OFF COAST OF HOKKAIDO, JAPAN
     226        19 NEAR WEST COAST OF HONSHU, JAPAN
     227        19 HONSHU, JAPAN
     228        19 NEAR EAST COAST OF HONSHU, JAPAN
     229        19 OFF EAST COAST OF HONSHU, JAPAN
     230        19 NEAR S. COAST OF HONSHU, JAPAN
     231        20 SOUTH KOREA
     232        20 SOUTHERN HONSHU, JAPAN
     233        20 NEAR S. COAST OF SOUTHERN HONSHU
     234        20 EAST CHINA SEA
     235        20 KYUSHU, JAPAN
     236        20 SHIKOKU, JAPAN
     237        20 SOUTHEAST OF SHIKOKU, JAPAN
     238        20 RYUKYU ISLANDS
     239        20 RYUKYU ISLANDS REGION
     240        20 EAST OF RYUKYU ISLANDS
     241        20 PHILIPPINE SEA
     242        21 NEAR SOUTHEASTERN COAST OF CHINA
     243        21 TAIWAN REGION
     244        21 TAIWAN
     245        21 NORTHEAST OF TAIWAN
     246        21 SOUTHWESTERN RYUKYU ISLANDS
     247        21 SOUTHEAST OF TAIWAN
     248        22 PHILIPPINE ISLANDS REGION
     249        22 LUZON, PHILIPPINE ISLANDS
     250        22 MINDORO, PHILIPPINE ISLANDS
     251        22 SAMAR, PHILIPPINE ISLANDS
     252        22 PALAWAN, PHILIPPINE ISLANDS
     253        22 SULU SEA
     254        22 PANAY, PHILIPPINE ISLANDS
     255        22 CEBU, PHILIPPINE ISLANDS
     256        22 LEYTE, PHILIPPINE ISLANDS
     257        22 NEGROS, PHILIPPINE ISLANDS
     258        22 SULU ARCHIPELAGO
     259        22 MINDANAO, PHILIPPINE ISLANDS
     260        22 EAST OF PHILIPPINE ISLANDS
     261        23 KALIMANTAN
     262        23 CELEBES SEA
     263        23 TALAUD ISLANDS
     264        23 NORTH OF HALMAHERA
     265        23 MINAHASSA PENINSULA
     266        23 MOLUCCA PASSAGE
     267        23 HALMAHERA
     268        23 SULAWESI
     269        23 MOLUCCA SEA
     270        23 CERAM SEA
     271        23 BURU
     272        23 CERAM
     273        24 SOUTHWEST OF SUMATERA
     274        24 SOUTHERN SUMATERA
     275        24 JAVA SEA
     276        24 SUNDA STRAIT
     277        24 JAVA
     278        24 BALI SEA
     279        24 FLORES SEA
     280        24 BANDA SEA
     281        24 TANIMBAR ISLANDS REGION
     282        24 SOUTH OF JAVA
     283        24 BALI ISLAND REGION
     284        24 SOUTH OF BALI ISLAND
     285        24 SUMBAWA ISLAND REGION
     286        24 FLORES ISLAND REGION
     287        24 SUMBA ISLAND REGION
     288        24 SAVU SEA
     289        24 TIMOR
     290        24 TIMOR SEA
     291        24 SOUTH OF SUMBAWA ISLAND
     292        24 SOUTH OF SUMBA ISLAND
     293        24 SOUTH OF TIMOR
     294        25 BURMA-INDIA BORDER REGION
     295        25 BURMA-BANGLADESH BORDER REGION
     296        25 BURMA
     297        25 BURMA-CHINA BORDER REGION
     298        25 SOUTH BURMA
     299        25 SOUTHEAST ASIA
     300        25 HAINAN ISLAND
     301        25 SOUTH CHINA SEA
     302        26 EASTERN KASHMIR
     303        26 KASHMIR-INDIA BORDER REGION
     304        26 KASHMIR-TIBET BORDER REGION
     305        26 TIBET-INDIA BORDER REGION
     306        26 TIBET
     307        26 SICHUAN PROVINCE, CHINA
     308        26 NORTHERN INDIA
     309        26 NEPAL-INDIA BORDER REGION
     310        26 NEPAL
     311        26 SIKKIM
     312        26 BHUTAN
     313        26 INDIA-CHINA BORDER REGION
     314        26 INDIA
     315        26 INDIA-BANGLADESH BORDER REGION
     316        26 BANGLADESH
     317        26 EASTERN INDIA
     318        26 YUNNAN PROVINCE, CHINA
     319        26 BAY OF BENGAL
     320        27 KIRGHIZ-XINJIANG BORDER REGION
     321        27 SOUTHERN XINJIANG, CHINA
     322        27 GANSU PROVINCE, CHINA
     323        27 NORTHERN CHINA
     324        27 KASHMIR-XINJIANG BORDER REGION
     325        27 QINGHAI PROVINCE, CHINA
     326        28 CENTRAL USSR
     327        28 LAKE BAIKAL REGION
     328        28 EAST OF LAKE BAIKAL
     329        28 EASTERN KAZAKH SSR
     330        28 ALMA-ATA REGION
     331        28 KAZAKH-XINJIANG BORDER REGION
     332        28 NORTHERN XINJIANG, CHINA
     333        28 USSR-MONGOLIA BORDER REGION
     334        28 MONGOLIA
     335        29 URAL MOUNTAINS REGION
     336        29 WESTERN KAZAKH SSR
     337        29 EASTERN CAUCASUS
     338        29 CASPIAN SEA
     339        29 UZBEK SSR
     340        29 TURKMEN SSR
     341        29 IRAN-USSR BORDER REGION
     342        29 TURKMEN-AFGHANISTAN BORDER REG.
     343        29 TURKEY-IRAN BORDER REGION
     344        29 N.W. IRAN-USSR BORDER REGION
     345        29 NORTHWESTERN IRAN
     346        29 IRAN-IRAQ BORDER REGION
     347        29 WESTERN IRAN
     348        29 IRAN
     349        29 NORTHWESTERN AFGHANISTAN
     350        29 SOUTHWESTERN AFGHANISTAN
     351        29 EASTERN ARABIAN PENINSULA
     352        29 PERSIAN GULF
     353        29 SOUTHERN IRAN
     354        29 PAKISTAN
     355        29 GULF OF OMAN
     356        29 NEAR COAST OF PAKISTAN
     357        30 SOUTHWESTERN USSR
     358        30 ROMANIA
     359        30 BULGARIA
     360        30 BLACK SEA
     361        30 CRIMEA REGION
     362        30 WESTERN CAUCASUS
     363        30 GREECE-BULGARIA BORDER REGION
     364        30 GREECE
     365        30 AEGEAN SEA
     366        30 TURKEY
     367        30 TURKEY-USSR BORDER REGION
     368        30 SOUTHERN GREECE
     369        30 DODECANESE ISLANDS
     370        30 CRETE
     371        30 EASTERN MEDITERRANEAN SEA
     372        30 CYPRUS
     373        30 DEAD SEA REGION
     374        30 JORDAN - SYRIA REGION
     375        30 IRAQ
     376        31 PORTUGAL
     377        31 SPAIN
     378        31 PYRENEES
     379        31 NEAR SOUTH COAST OF FRANCE
     380        31 CORSICA
     381        31 CENTRAL ITALY
     382        31 ADRIATIC SEA
     383        31 YUGOSLAVIA
     384        31 WEST OF GIBRALTAR
     385        31 STRAIT OF GIBRALTAR
     386        31 BALEARIC ISLANDS
     387        31 WESTERN MEDITERRANEAN SEA
     388        31 SARDINIA
     389        31 TYRRHENIAN SEA
     390        31 SOUTHERN ITALY
     391        31 ALBANIA
     392        31 GREECE-ALBANIA BORDER REGION
     393        31 MADEIRA ISLANDS REGION
     394        31 CANARY ISLANDS REGION
     395        31 MOROCCO
     396        31 ALGERIA
     397        31 TUNISIA
     398        31 SICILY
     399        31 IONIAN SEA
     400        31 MEDITERRANEAN SEA
     401        31 NEAR COAST OF LIBYA
     402        32 NORTH ATLANTIC OCEAN
     403        32 NORTH ATLANTIC RIDGE
     404        32 AZORES ISLANDS REGION
     405        32 AZORES ISLANDS
     406        32 CENTRAL MID-ATLANTIC RIDGE
     407        32 NORTH OF ASCENSION ISLAND
     408        32 ASCENSION ISLAND REGION
     409        32 SOUTH ATLANTIC OCEAN
     410        32 SOUTH ATLANTIC RIDGE
     411        32 TRISTAN DA CUNHA REGION
     412        32 BOUVET ISLAND REGION
     413        32 SOUTHWEST OF AFRICA
     414        32 SOUTHEASTERN ATLANTIC OCEAN
     415        33 EASTERN GULF OF ADEN
     416        33 SOCOTRA REGION
     417        33 ARABIAN SEA
     418        33 LACCADIVE ISLANDS REGION
     419        33 NORTHEASTERN SOMALIA
     420        33 NORTH INDIAN OCEAN
     421        33 CARLSBERG RIDGE
     422        33 MALDIVE ISLANDS REGION
     423        33 LACCADIVE SEA
     424        33 SRI LANKA
     425        33 SOUTH INDIAN OCEAN
     426        33 CHAGOS ARCHIPELAGO REGION
     427        33 MASCARENE ISLANDS REGION
     428        33 ATLANTIC-INDIAN RISE
     429        33 MID-INDIAN RISE
     430        33 SOUTH OF AFRICA
     431        33 PRINCE EDWARD ISLANDS REGION
     432        33 CROZET ISLANDS REGION
     433        33 KERGUELEN ISLANDS REGION
     434        33 AMSTERDAM-NATURALISTE RIDGE
     435        33 SOUTHEAST INDIAN RISE
     436        33 KERGUELEN-GAUSSBERG RISE
     437        33 SOUTH OF AUSTRALIA
     438        34 SASKATCHEWAN PROVINCE, CANADA
     439        34 MANITOBA PROVINCE, CANADA
     440        34 HUDSON BAY
     441        34 ONTARIO
     442        34 HUDSON STRAIT REGION
     443        34 NORTHERN QUEBEC
     444        34 DAVIS STRAIT
     445        34 LABRADOR
     446        34 EAST OF LABRADOR
     447        34 SOUTHERN QUEBEC
     448        34 GASPE PENINSULA
     449        34 EASTERN QUEBEC
     450        34 ANTICOSTI ISLAND, CANADA
     451        34 NEW BRUNSWICK
     452        34 NOVA SCOTIA
     453        34 PRINCE EDWARD ISLAND, CANADA
     454        34 GULF OF ST. LAWRENCE
     455        34 NEWFOUNDLAND
     456        34 MONTANA
     457        34 EASTERN IDAHO
     458        34 HEBGEN LAKE REGION
     459        34 YELLOWSTONE NATIONAL PARK, WYO.
     460        34 WYOMING
     461        34 NORTH DAKOTA
     462        34 SOUTH DAKOTA
     463        34 NEBRASKA
     464        34 MINNESOTA
     465        34 IOWA
     466        34 WISCONSIN
     467        34 ILLINOIS
     468        34 MICHIGAN
     469        34 INDIANA
     470        34 SOUTHERN ONTARIO
     471        34 OHIO
     472        34 NEW YORK
     473        34 PENNSYLVANIA
     474        34 NORTHERN NEW ENGLAND
     475        34 MAINE
     476        34 SOUTHERN NEW ENGLAND
     477        34 GULF OF MAINE
     478        34 UTAH
     479        34 COLORADO
     480        34 KANSAS
     481        34 IOWA-MISSOURI BORDER REGION
     482        34 MISSOURI-KANSAS BORDER REGION
     483        34 MISSOURI
     484        34 MISSOURI-ARKANSAS BORDER REGION
     485        34 EASTERN MISSOURI
     486        34 NEW MADRID, MISSOURI  REGION
     487        34 CAPE GIRARDEAU, MISSOURI  REGION
     488        34 SOUTHERN ILLINOIS
     489        34 SOUTHERN INDIANA
     490        34 KENTUCKY
     491        34 WEST VIRGINIA
     492        34 VIRGINIA
     493        34 CHESAPEAKE BAY REGION
     494        34 NEW JERSEY
     495        34 EASTERN ARIZONA
     496        34 NEW MEXICO
     497        34 TEXAS PANHANDLE REGION
     498        34 WEST TEXAS
     499        34 OKLAHOMA
     500        34 CENTRAL TEXAS
     501        34 ARKANSAS-OKLAHOMA BORDER REGION
     502        34 ARKANSAS
     503        34 LOUISIANA-TEXAS BORDER REGION
     504        34 LOUISIANA
     505        34 MISSISSIPPI
     506        34 TENNESSEE
     507        34 ALABAMA
     508        34 WESTERN FLORIDA
     509        34 GEORGIA
     510        34 FLORIDA-GEORGIA BORDER REGION
     511        34 SOUTH CAROLINA
     512        34 NORTH CAROLINA
     513        34 OFF EAST COAST OF UNITED STATES
     514        34 FLORIDA PENINSULA
     515        34 BAHAMA ISLANDS
     516        34 E. ARIZ. - MEXICO BORDER REGION
     517        34 MEXICO-NEW MEXICO BORDER REGION
     518        34 TEXAS-MEXICO BORDER REGION
     519        34 SOUTHERN TEXAS
     520        34 TEXAS GULF COAST
     521        34 CHIHUAHUA, MEXICO
     522        34 NORTHERN MEXICO
     523        34 CENTRAL MEXICO
     524        34 JALISCO, MEXICO
     525        34 VERA CRUZ, MEXICO
     526        34 GULF OF MEXICO
     527        34 GULF OF CAMPECHE
     528        35 BRAZIL
     529        35 GUYANA
     530        35 SURINAME
     531        35 FRENCH GUIANA
     532        36 EIRE
     533        36 UNITED KINGDOM
     534        36 NORTH SEA
     535        36 SOUTHERN NORWAY
     536        36 SWEDEN
     537        36 BALTIC SEA
     538        36 FRANCE
     539        36 BAY OF BISCAY
     540        36 NETHERLANDS
     541        36 BELGIUM
     542        36 DENMARK
     543        36 GERMANY
     544        36 SWITZERLAND
     545        36 NORTHERN ITALY
     546        36 AUSTRIA
     547        36 CZECHOSLOVAKIA
     548        36 POLAND
     549        36 HUNGARY
     550        37 NORTHWEST AFRICA
     551        37 SOUTHERN ALGERIA
     552        37 LIBYA
     553        37 ARAB REPUBLIC OF EGYPT
     554        37 RED SEA
     555        37 WESTERN ARABIAN PENINSULA
     556        37 CENTRAL AFRICA
     557        37 SUDAN
     558        37 ETHIOPIA
     559        37 WESTERN GULF OF ADEN
     560        37 NORTHWESTERN SOMALIA
     561        37 OFF S. COAST OF NORTHWEST AFRICA
     562        37 CAMEROON
     563        37 EQUATORIAL GUINEA
     564        37 CENTRAL AFRICAN REPUBLIC
     565        37 GABON
     566        37 CONGO REPUBLIC
     567        37 ZAIRE REPUBLIC
     568        37 UGANDA
     569        37 LAKE VICTORIA REGION
     570        37 KENYA
     571        37 SOUTHERN SOMALIA
     572        37 LAKE TANGANYIKA REGION
     573        37 TANZANIA
     574        37 NORTHWEST OF MADAGASCAR
     575        37 ANGOLA
     576        37 ZAMBIA
     577        37 MALAWI
     578        37 NAMIBIA
     579        37 BOTSWANA REPUBLIC
     580        37 ZIMBABWE
     581        37 MOZAMBIQUE
     582        37 MOZAMBIQUE CHANNEL
     583        37 MALAGASAY REPUBLIC
     584        37 REPUBLIC OF SOUTH AFRICA
     585        37 LESOTHO
     586        37 SWAZILAND
     587        37 OFF COAST OF SOUTH AFRICA
     588        38 NORTHWEST OF AUSTRALIA
     589        38 WEST OF AUSTRALIA
     590        38 WESTERN AUSTRALIA
     591        38 NORTHERN TERRITORY, AUSTRALIA
     592        38 SOUTH AUSTRALIA
     593        38 GULF OF CARPENTERIA
     594        38 QUEENSLAND, AUSTRALIA
     595        38 CORAL SEA
     596        38 SOUTH OF SOLOMON ISLANDS
     597        38 NEW CALEDONIA REGION
     598        38 SOUTHWEST OF AUSTRALIA
     599        38 OFF SOUTH COAST OF AUSTRALIA
     600        38 NEAR SOUTH COAST OF AUSTRALIA
     601        38 NEW SOUTH WALES, AUSTRALIA
     602        38 VICTORIA, AUSTRALIA
     603        38 NEAR S.E. COAST OF AUSTRALIA
     604        38 NEAR EAST COAST OF AUSTRALIA
     605        38 EAST OF AUSTRALIA
     606        38 NORFOLK ISLAND REGION
     607        38 NORTHWEST OF NEW ZEALAND
     608        38 BASS STRAIT
     609        38 TASMANIA REGION
     610        38 SOUTHEAST OF AUSTRALIA
     611        39 NORTH PACIFIC OCEAN
     612        39 HAWAII REGION
     613        39 HAWAII
     614        39 CAROLINE ISLANDS REGION
     615        39 MARSHALL ISLANDS REGION
     616        39 ENIWETOK ATOLL REGION
     617        39 BIKINI ATOLL REGION
     618        39 GILBERT ISLANDS REGION
     619        39 JOHNSTON ISLAND REGION
     620        39 LINE ISLANDS REGION
     621        39 PALMYRA ISLAND REGION
     622        39 CHRISTMAS ISLAND REGION
     623        39 ELLICE ISLANDS REGION
     624        39 PHOENIX ISLANDS REGION
     625        39 TEKELAU ISLANDS REGION
     626        39 NORTHERN COOK ISLANDS
     627        39 COOK ISLANDS REGION
     628        39 SOCIETY ISLANDS REGION
     629        39 TUBUAI ISLANDS REGION
     630        39 MARQUESAS ISLANDS REGION
     631        39 TUAMOTU ARCHIPELAGO REGION
     632        39 SOUTH PACIFIC OCEAN
     633        40 LOMONOSOV RIDGE
     634        40 ARCTIC OCEAN
     635        40 NEAR NORTH COAST OF GREENLAND
     636        40 EASTERN GREENLAND
     637        40 ICELAND REGION
     638        40 ICELAND
     639        40 JAN MAYEN ISLAND REGION
     640        40 GREENLAND SEA
     641        40 NORTH OF SVALBARD
     642        40 NORWEGIAN SEA
     643        40 SVALBARD REGION
     644        40 NORTH OF FRANZ JOSEF LAND
     645        40 FRANZ JOSEF LAND
     646        40 NORTHERN NORWAY
     647        40 BARENTS SEA
     648        40 NOVAYA ZEMLYA
     649        40 KARA SEA
     650        40 NEAR COAST OF WESTERN SIBERIA
     651        40 NORTH OF SEVERNAYA ZEMLYA
     652        40 SEVERNAYA ZEMLYA
     653        40 NEAR COAST OF CENTRAL SIBERIA
     654        40 EAST OF SEVERNAYA ZEMLYA
     655        40 LAPTEV SEA
     656        41 EASTERN USSR
     657        41 E. USSR-N.E. CHINA BORDER REG.
     658        41 NORTHEASTERN CHINA
     659        41 NORTH KOREA
     660        41 SEA OF JAPAN
     661        41 NEAR E. COAST OF EASTERN USSR
     662        41 SAKHALIN ISLAND
     663        41 SEA OF OKHOTSK
     664        41 EASTERN CHINA
     665        41 YELLOW SEA
     666        41 OFF COAST OF EASTERN CHINA
     667        42 NORTH OF NEW SIBERIAN ISLANDS
     668        42 NEW SIBERIAN ISLANDS
     669        42 EAST SIBERIAN SEA
     670        42 NEAR N. COAST OF EASTERN SIBERIA
     671        42 EASTERN SIBERIA
     672        42 CHUKCHI SEA
     673        42 BERING STRAIT
     674        42 ST. LAWRENCE ISLAND REGION
     675        42 BEAUFORT SEA
     676        42 ALASKA
     677        42 NORTHERN YUKON TERRITORY, CANADA
     678        42 QUEEN ELIZABETH ISLANDS
     679        42 NORTHWEST TERRITORIES, CANADA
     680        42 WESTERN GREENLAND
     681        42 BAFFIN BAY
